date	views	viewed_files
202201	1796814	7723
202202	1569357	7429
202203	1671857	7557
202204	1560141	7562
202205	1611295	7579
202206	1473503	7439
202207	1431587	7429
202208	1487703	7528
202209	1561238	7708
202210	1633775	7696
202211	1623744	7747
202212	1628214	7293
